forest_type,region,scenario_type,years_post_disturbance,carbon_stock_0_30_mean_Mg_ha,carbon_stock_0_30_sd_Mg_ha,carbon_stock_30_100_mean_Mg_ha,carbon_stock_30_100_sd_Mg_ha,carbon_stock_0_100_mean_Mg_ha,carbon_stock_0_100_sd_Mg_ha,lfh_stock_mean_Mg_ha,lfh_stock_sd_Mg_ha,lfh_thickness_mean_cm,lfh_thickness_sd_cm,bulk_density_0_15_mean_g_cm3,bulk_density_0_15_sd_g_cm3,soc_0_15_mean_g_kg,soc_0_15_sd_g_kg,data_source,notes
boreal_black_spruce,boreal_west,reference_mature,NA,35.2,8.4,48.6,12.3,83.8,18.2,28.4,6.8,12.5,3.2,0.68,0.12,85.2,18.4,"Shaw et al. 2018; NFI 2019","Organic-rich soils, permafrost influence"
boreal_black_spruce,boreal_west,post_fire,5,18.2,5.6,42.1,11.2,60.3,14.8,8.2,2.4,3.5,1.2,0.82,0.14,62.4,15.2,"Johnstone & Kasischke 2005","Fire removes LFH layer significantly"
boreal_black_spruce,boreal_west,post_fire,20,28.6,7.2,45.8,10.8,74.4,16.5,18.6,4.8,8.2,2.6,0.72,0.13,78.2,16.8,"Harden et al. 2012","LFH layer recovering"
boreal_mixedwood,boreal_west,reference_mature,NA,42.8,9.2,52.4,13.6,95.2,20.4,18.6,4.2,8.5,2.1,0.88,0.11,72.6,14.8,"Kurz et al. 2013; NFI 2019","Aspen-white spruce mix"
boreal_mixedwood,boreal_west,post_harvest,5,28.4,6.8,48.2,12.4,76.6,17.2,6.4,2.1,2.8,1.0,1.15,0.16,48.6,12.2,"Lieffers et al. 2003","Soil compaction from harvest"
boreal_mixedwood,boreal_west,regenerating,20,36.2,8.4,50.8,12.8,87.0,19.2,14.2,3.6,6.4,1.8,0.94,0.12,65.4,14.6,"Kishchuk et al. 2015","SOC recovery underway"
temperate_conifer,BC_coast,reference_oldgrowth,NA,58.6,12.4,68.2,15.8,126.8,26.2,42.6,8.4,18.2,4.2,0.82,0.10,98.4,18.6,"Kranabetter et al. 2015","Douglas-fir, western hemlock"
temperate_conifer,BC_coast,managed_mature,75,48.2,10.6,62.4,14.2,110.6,22.8,28.4,6.2,12.4,3.1,0.92,0.11,82.6,16.4,"Perera et al. 2018","Managed forest, 75-year rotation"
temperate_conifer,BC_coast,post_harvest,3,32.4,8.2,58.6,13.8,91.0,20.2,8.6,2.8,3.2,1.1,1.28,0.18,52.8,13.2,"Trofymow et al. 2008","Site preparation impacts"
temperate_conifer,BC_coast,regenerating,15,40.2,9.4,60.8,14.6,101.0,21.8,18.2,4.6,7.8,2.4,1.02,0.13,68.4,15.2,"Kimmins et al. 2005","Young plantation"
temperate_conifer,BC_interior,reference_mature,NA,45.2,10.8,56.8,13.4,102.0,22.4,24.6,5.8,10.8,2.8,0.96,0.12,78.2,16.8,"Dymond et al. 2010","Interior Douglas-fir, ponderosa pine"
temperate_conifer,BC_interior,post_fire,10,28.6,7.4,52.4,12.8,81.0,18.6,12.4,3.2,5.2,1.6,1.08,0.14,58.6,14.2,"Certini 2005","Fire-affected soils"
temperate_deciduous,ontario_quebec,reference_mature,NA,52.4,11.2,61.8,14.6,114.2,23.8,22.4,5.2,9.2,2.4,1.08,0.11,72.8,15.6,"Guo et al. 2020; CanSIS 2021","Sugar maple, basswood, oak"
temperate_deciduous,ontario_quebec,managed_rotation,60,46.8,10.4,58.6,13.8,105.4,22.4,18.6,4.6,7.8,2.1,1.12,0.12,66.4,14.8,"Goodale & Aber 2001","Managed hardwood stands"
coastal_rainforest,BC_coast,reference_oldgrowth,NA,68.4,14.8,76.2,16.8,144.6,28.6,52.8,10.2,22.4,5.2,0.76,0.09,112.6,20.4,"Schroeder et al. 2010","Very high precipitation, thick LFH"
coastal_rainforest,BC_coast,protected_mature,150,56.2,12.6,70.4,15.4,126.6,25.2,38.4,8.6,16.2,4.1,0.84,0.10,96.8,18.2,"Prescott et al. 2000","Protected area, no harvest history"
afforestation_site,BC_interior,former_agriculture,0,18.4,5.2,42.6,10.8,61.0,14.6,2.4,0.8,0.8,0.4,1.18,0.14,32.6,8.4,"Paul et al. 2002","Former cropland, pre-planting"
afforestation_site,BC_interior,ar_project,10,24.6,6.4,44.8,11.2,69.4,16.2,8.4,2.4,3.2,1.1,1.12,0.13,42.8,10.2,"Laganiere et al. 2010","10 years post-planting"
afforestation_site,BC_interior,ar_project,25,32.8,7.8,48.4,12.1,81.2,18.4,14.6,3.8,6.4,1.8,1.04,0.12,56.4,12.8,"Perera et al. 2016","25 years post-planting, canopy closure"
afforestation_site,ontario,former_agriculture,0,22.6,6.1,46.2,11.4,68.8,16.2,2.8,0.9,1.0,0.5,1.14,0.13,38.4,9.2,"VandenBygaart et al. 2003","Former cropland, eastern Canada"
afforestation_site,ontario,ar_project,15,28.4,7.2,48.8,12.2,77.2,17.8,10.2,3.1,4.2,1.4,1.08,0.12,48.6,11.4,"Peichl & Arain 2006","15 years afforestation, mixed hardwood"
afforestation_site,prairie,former_grassland,0,32.8,8.4,52.4,13.2,85.2,19.6,8.2,2.4,2.4,0.8,1.08,0.11,52.8,12.1,"Mayer et al. 2020","Native grassland conversion"
afforestation_site,prairie,ar_project,20,38.6,9.2,56.2,13.8,94.8,21.2,16.4,4.2,6.8,1.9,1.02,0.11,62.4,13.8,"Amichev et al. 2020","Shelterbelts and afforestation, prairies"
ifm_extended_rotation,BC_coast,ifm_project,NA,52.4,11.2,66.8,14.8,119.2,24.2,34.2,7.4,14.6,3.6,0.86,0.10,88.6,17.2,"Harmon et al. 2009","Extended rotation from 75 to 120 years"
ifm_reduced_impact,BC_coast,ifm_project,NA,50.6,10.8,65.2,14.4,115.8,23.6,32.8,7.1,13.8,3.4,0.89,0.11,85.4,16.8,"Smyth et al. 2018","Reduced-impact logging practices"
degraded_site,boreal_east,peatland_drainage,NA,24.6,6.8,38.2,10.4,62.8,15.8,6.4,2.1,2.2,0.8,0.92,0.13,48.2,11.6,"Turetsky et al. 2002","Drained peatland forest"
disturbed_site,BC_interior,mountain_pine_beetle,8,26.8,7.2,48.6,12.2,75.4,17.8,10.2,3.2,4.2,1.4,0.98,0.12,54.8,13.4,"Kishchuk et al. 2016","Post-beetle outbreak mortality"
